subject,relation,object
straight,hypernym,person
gentleman,hypernym,man
polished,synonym,smooth
family,synonym,house
family,synonym,home
symbol,hypernym,sign
stadium,synonym,bowl
modern,hypernym,person
radio,synonym,wireless
burnt,synonym,fire
pepperoni,hypernym,sausage
simple,hypernym,herb
paint,hypernym,coat
paint,hypernym,color
grilled,synonym,grill
house,hypernym,building
house,hypernym,home
post,synonym,station
beverage,synonym,drink
beverage,hypernym,food
beverage,hypernym,liquid
elevated,hypernym,railroad
lighthouse,hypernym,tower
sushi,hypernym,dish
taller,synonym,tall
flying,hypernym,air
dense,synonym,heavy
candy,hypernym,sweet
bunched,synonym,bunch
milkshake,hypernym,drink
trick,hypernym,device
blind,hypernym,people
earphone,synonym,headphone
earphone,synonym,phone
copper,hypernym,metal
rimmed,hypernym,line
groomed,synonym,train
teal,hypernym,green
cardboard,hypernym,paper
soup,hypernym,dish
marble,hypernym,rock
marble,hypernym,stone
fan,hypernym,device
kettle,hypernym,pot
cookie,synonym,biscuit
cookie,hypernym,cake
heavy,hypernym,player
bedspread,synonym,spread
bedspread,hypernym,bedding
chasing,synonym,tail
chasing,synonym,tag
chasing,synonym,dog
chasing,synonym,track
cupboard,synonym,closet
keypad,hypernym,keyboard
speckled,hypernym,cloud
sidewalk,synonym,pavement
sidewalk,hypernym,walkway
toilet,synonym,can
toilet,synonym,bathroom
toilet,hypernym,room
shallow,hypernym,water
omelette,hypernym,dish
topping,hypernym,garnish
watermelon,hypernym,melon
toddler,hypernym,child
toddler,hypernym,kid
toddler,hypernym,fry
motorcycle,synonym,bike
extinguisher,hypernym,device
off,synonym,hit
bathroom,synonym,bath
bathroom,hypernym,room
sofa,synonym,couch
sofa,hypernym,seat
middle,synonym,center
middle,synonym,heart
middle,synonym,eye
bandage,hypernym,dressing
roadway,hypernym,road
toasted,synonym,toast
toasted,synonym,crisp
notepad,hypernym,pad
notepad,hypernym,tablet
heel,hypernym,bottom
plate,synonym,home
plate,hypernym,bag
dessert,synonym,sweet
wheel,hypernym,machine
helping,synonym,serving
draped,synonym,drape
couch,synonym,sofa
couch,hypernym,seat
entering,synonym,entrance
old,hypernym,past
shaded,synonym,shade
shop,synonym,store
shop,hypernym,outlet
dressing,hypernym,sauce
sandal,hypernym,shoe
crowded,synonym,herd
crowded,synonym,crowd
patterned,synonym,pattern
tent,hypernym,shelter
leaving,synonym,going
open,synonym,clear
salad,hypernym,dish
fried,synonym,fry
