id,expression,image_id,sent_id,object_name,category_id,attributes,sonnet_success,sonnet_output,sonnet_valid,sonnet_tokens,sonnet_time,sonnet_error,haiku_success,haiku_output,haiku_valid,haiku_tokens,haiku_time,haiku_error,both_successful,both_valid,outputs_identical,sonnet_faster
713373_6867,The young girl that is to the left of the wood coffee table,713373,6867,girl,394,['young'],True,"target(X), type(X, person), expression(hasAttribute, X, young), expression(leftOf, X, table), expression(hasAttribute, table, wood)",True,146,1.4332771301269531,,True,"target(X), type(X, girl), expression(left, X, coffee_table)",True,128,1.2966578006744385,,True,True,False,False
1591820_2610,The double decker bus that is to the right of the building,1591820,2610,bus,189,['double decker'],True,"target(X), type(X, bus), expression(hasAttribute, X, double_decker), expression(rightOf, X, building)",True,139,1.5548851490020752,,True,"target(X), type(X, bus), type(X, double_decker), expression(right_of, X, building)",True,134,1.1027050018310547,,True,True,False,False
2335779_5696,The white can that is to the left of the black seat,2335779,5696,can,182,['white'],True,"target(X), type(X, can), expression(hasAttribute, X, white), expression(leftOf, X, seat), expression(hasAttribute, seat, black)",True,143,1.8944141864776611,,True,"target(X), type(X, can), type(Y, seat), expression(color, X, white), expression(color, Y, black), expression(left_of, X, Y)",True,142,2.893017292022705,,True,True,False,True
2351773_5237,The sitting person that is on top of the long bench that is on top of the green grass,2351773,5237,person,792,['sitting'],True,"target(X), type(X, person), expression(on, X, bench), expression(hasAttribute, bench, long), expression(on, bench, grass), expression(hasAttribute, grass, green)",True,161,1.6024231910705566,,True,"target(X), type(X, person), type(Y, bench), type(Z, grass), expression(sitting, X, _), expression(on, X, Y), expression(long, Y, _), expression(on, Y, Z), expression(green, Z, _)",True,165,1.497309923171997,,True,True,False,False
2362418_11734,boat in the middle that is blue and in clear water,2362418,11734,boat,625,['blue'],True,"target(X), type(X, boat), expression(hasPosition, X, middle), expression(hasAttribute, X, blue), expression(in, X, water), expression(hasAttribute, water, clear)",True,152,2.7707231044769287,,True,"target(X), type(X, boat), expression(in, X, middle), expression(hasAttribute, X, blue), expression(in, X, water)",True,140,1.4417378902435303,,True,True,False,False
498251_465,The bag that is not orange,498251,465,bag,694,['brown'],True,"target(X), type(X, bag), expression(hasAttribute, X, !orange)",True,121,1.4124131202697754,,True,"target(X), type(X, bag), not(expression(hasAttribute, X, orange))",True,122,1.9061920642852783,,True,True,False,True
2374604_22622,The white boat that is near the large house or in the blue water,2374604,22622,boat,625,"['white', 'wood', 'docked']",True,"target(X), type(X, boat), expression(hasAttribute, X, white), expression(near, X, building), expression(hasAttribute, building, large), expression(in, X, water), expression(hasAttribute, water, blue)",True,165,1.4429261684417725,,True,"target(X), type(X, boat), expression(white, X, white), expression(near, X, house), expression(large, house, large), expression(in, X, water), expression(blue, water, blue)",True,158,1.2057528495788574,,True,True,False,False
2395431_13828,The bench that has the same color as the tall street light,2395431,13828,bench,834,"['black', 'metal']",True,"target(X), type(X, bench), expression(hasAttribute, X, color), expression(hasAttribute, light, color), expression(hasAttribute, light, tall)",True,149,2.3083748817443848,,True,"target(X), type(X, bench), type(Y, streetLight), expression(sameColor, X, Y), expression(tall, Y, true)",True,139,1.3390700817108154,,True,True,False,False
2353633_3069,The shirtless man that is surrounded by the rock that is to the left of the leg,2353633,3069,man,230,['shirtless'],True,"target(X), type(X, person), expression(hasAttribute, X, shirtless), expression(near, X, rock), expression(leftOf, rock, leg)",True,150,1.8650200366973877,,True,"target(X), type(X, man), type(rock, rock), type(leg, leg), expression(shirtless, X), expression(surrounded_by, X, rock), expression(to_left_of, rock, leg)",True,157,1.3307478427886963,,True,True,False,False
2317955_15965,The tall pole that is to the right of the metal fence and to the left of the green leaf,2317955,15965,pole,619,['tall'],True,"target(X), type(X, pole), expression(hasAttribute, X, tall), expression(rightOf, X, fence), expression(hasAttribute, fence, metal), expression(leftOf, X, leaf), expression(hasAttribute, leaf, green)",True,170,1.4498779773712158,,True,"target(X), type(X, pole), expression(tall, X, null), expression(right_of, X, fence), type(fence, metal), expression(left_of, X, leaf), type(leaf, green)",True,159,1.487250804901123,,True,True,False,True
