image_id,original_query,batch_idx,target_probability,result_rank,is_best_result,full_result_query,predicted_object,bbox_id,predicted_bbox,probability,log_probability,loss,ground_truth_object,ground_truth_bbox_id,is_correct_object,total_results_count,new_vocab_count,new_vocab_items,error
2410049,",(,(,(,(target(X),type(X,~person)),expression(~hasAttribute,X,~crouched)),expression(~lookingAt,X,~book)),expression(~hasAttribute,~book,~open))",0,1.0,1,True,",(,(,(,(target(~man),type(~man,~person)),expression(~hasAttribute,~man,~crouched)),expression(~lookingAt,~man,~book)),expression(~hasAttribute,~book,~open))",man,bbox11,"[133, 57, 160, 278]",2.5237269169345737e-05,-10.587188720703125,10.587188720703125,man,bbox11,True,1,11,crouched;pants;sandals;trees;eyeGlasses;trainCar;hands;toTheLeftOf;striped;longSleeved;toTheRightOf,
2410049,",(,(,(,(,(target(X),type(X,~shirt)),expression(~hasAttribute,X,~striped)),expression(~rightOf,X,~door)),expression(~hasAttribute,~door,~open)),expression(~leftOf,~door,~seat))",1,1.0,1,True,,NONE,,,0.0,-inf,inf,,,,1,0,,
2375361,",(,(,(,(,(,(target(X),type(X,~plate)),expression(~hasAttribute,X,~white)),expression(~near,X,~banana)),expression(~hasAttribute,~banana,~unpeeled)),expression(~above,X,~table)),expression(~hasAttribute,~table,~black))",2,1.0,1,True,",(,(,(,(,(,(target(~plate),type(~plate,~plate)),expression(~hasAttribute,~plate,~white)),expression(~near,~plate,~banana)),expression(~hasAttribute,~banana,~unpeeled)),expression(~above,~plate,~table)),expression(~hasAttribute,~table,~black))",plate,bbox2,"[37, 113, 320, 222]",0.02332953920006099,-3.7580349445343018,3.7580349445343018,plate,bbox2,True,1,2,unpeeled;lightColored,
2409694,",(,(,(,(target(X),type(X,~racket)),expression(~hasPosition,X,~left)),expression(~hasAttribute,X,~black)),expression(~leftOf,X,~wrist))",3,1.0,1,True,",(,(,(,(target(~racket),type(~racket,~racket)),expression(~hasPosition,~racket,~left)),expression(~hasAttribute,~racket,~black)),expression(~leftOf,~racket,~wrist))",racket,bbox1,"[50, 100, 341, 138]",5.122125356472787e-08,-16.787111282348633,16.787111282348633,racket,bbox1,True,1,1,playingWith,
2370242,",(,(,(,(,(target(X),type(X,~tree)),expression(~hasAttribute,X,~green)),expression(~behind,X,~person)),expression(~wearing,~person,~ski)),expression(~hasAttribute,~ski,~snowy))",4,1.0,1,True,,NONE,,,0.0,-inf,inf,,,,1,1,red,
2370242,",(,(,(,(target(X),type(X,~person)),expression(~hasAttribute,X,~skiing)),expression(~wearing,X,~jacket)),expression(~hasAttribute,~jacket,~blue))",5,1.0,1,True,",(,(,(,(target(~person),type(~person,~person)),expression(~hasAttribute,~person,~skiing)),expression(~wearing,~person,~jacket)),expression(~hasAttribute,~jacket,~blue))",person,bbox4,"[213, 99, 106, 219]",1.0,0.0,-0.0,person,bbox4,True,1,0,,
2352686,",(,(target(X),type(X,~boat)),expression(~nextTo,X,~dock))",6,1.0,1,True,",(,(target(~boat),type(~boat,~boat)),expression(~nextTo,~boat,~dock))",boat,bbox1,"[272, 16, 184, 55]",0.004099172410694026,-5.496970176696777,5.496970176696777,boat,bbox2,True,2,3,long;sittingNear;parkedAlong,
2352686,",(,(target(X),type(X,~boat)),expression(~nextTo,X,~dock))",6,1.0,2,False,",(,(target(~shirt),type(~shirt,~boat)),expression(~nextTo,~shirt,~dock))",shirt,bbox7,"[89, 173, 112, 143]",2.6010762579808724e-05,-10.557000160217285,10.557000160217285,boat,bbox2,False,2,3,long;sittingNear;parkedAlong,
2355481,",(,(,(,(,(target(X),type(X,~building)),expression(~hasAttribute,X,~large)),expression(~rightOf,X,~streetLight)),expression(~hasAttribute,~streetLight,~tall)),expression(~leftOf,X,~building))",7,1.0,1,True,,NONE,,,0.0,-inf,inf,,,,1,6,curtains;americanFlag;windows;streetLight;train;of,
2355481,",(,(,(,(,(target(X),type(X,~streetLight)),expression(~hasAttribute,X,~tall)),expression(~leftOf,X,~building)),expression(~hasAttribute,~building,~large)),expression(~rightOf,~building,~lamp))",8,1.0,1,True,,NONE,,,0.0,-inf,inf,,,,1,0,,
