id,expression,image_id,sent_id,object_name,category_id,attributes,sonnet_success,sonnet_output,sonnet_valid,sonnet_tokens,sonnet_time,sonnet_error,haiku_success,haiku_output,haiku_valid,haiku_tokens,haiku_time,haiku_error,both_successful,both_valid,outputs_identical,sonnet_faster
713373_6867,The young girl that is to the left of the wood coffee table,713373,6867,girl,394,['young'],True,"target(X), type(X, person), expression(hasAttribute, X, young), expression(leftOf, X, table), expression(hasAttribute, table, wood)",True,146,1.635300874710083,,True,"target(X), type(X, girl), expression(left_of, X, coffee_table)",True,129,1.1495580673217773,,True,True,False,False
1591820_2610,The double decker bus that is to the right of the building,1591820,2610,bus,189,['double decker'],True,"target(X), type(X, bus), expression(hasAttribute, X, double_decker), expression(rightOf, X, building)",True,139,1.4493961334228516,,True,"target(X), type(X, bus), type(X, double_decker), expression(right_of, X, building)",True,134,1.1329231262207031,,True,True,False,False
2335779_5696,The white can that is to the left of the black seat,2335779,5696,can,182,['white'],True,"target(X), type(X, can), expression(hasAttribute, X, white), expression(leftOf, X, seat), expression(hasAttribute, seat, black)",True,143,1.455085039138794,,True,"target(X), type(X, can), type(Y, seat), expression(color, X, white), expression(color, Y, black), expression(left_of, X, Y)",True,142,1.4232549667358398,,True,True,False,False
2351773_5237,The sitting person that is on top of the long bench that is on top of the green grass,2351773,5237,person,792,['sitting'],True,"target(X), type(X, person), expression(on, X, bench), expression(hasAttribute, bench, long), expression(on, bench, grass), expression(hasAttribute, grass, green)",True,161,4.26397705078125,,True,"target(X), type(X, person), type(Y, bench), type(Z, grass), expression(sitting, X, _), expression(on, X, Y), expression(long, Y, _), expression(on, Y, Z), expression(green, Z, _)",True,165,1.56292724609375,,True,True,False,False
2362418_11734,boat in the middle that is blue and in clear water,2362418,11734,boat,625,['blue'],True,"target(X), type(X, boat), expression(hasPosition, X, middle), expression(hasAttribute, X, blue), expression(in, X, water), expression(hasAttribute, water, clear)",True,152,2.6599371433258057,,True,"target(X), type(X, boat), expression(in, X, middle), expression(hasAttribute, X, blue), expression(in, X, water), expression(hasAttribute, water, clear)",True,150,1.244868278503418,,True,True,False,False
498251_465,The bag that is not orange,498251,465,bag,694,['brown'],True,"target(X), type(X, bag), expression(hasAttribute, X, !orange)",True,121,1.1116290092468262,,True,"target(X), type(X, bag), not(expression(hasAttribute, X, orange))",True,122,1.5079498291015625,,True,True,False,True
2374604_22622,The white boat that is near the large house or in the blue water,2374604,22622,boat,625,"['white', 'wood', 'docked']",True,"target(X), type(X, boat), expression(hasAttribute, X, white), expression(near, X, building), expression(hasAttribute, building, large), expression(in, X, water), expression(hasAttribute, water, blue)",True,165,3.128147840499878,,True,"target(X), type(X, boat), expression(white, X, white), expression(near, X, house), expression(large, house, large), expression(in, X, water), expression(blue, water, blue)",True,158,2.433534860610962,,True,True,False,False
2395431_13828,The bench that has the same color as the tall street light,2395431,13828,bench,834,"['black', 'metal']",True,"target(X), type(X, bench), expression(hasAttribute, X, color), expression(hasAttribute, light, color), expression(hasAttribute, light, tall)",True,149,2.207197904586792,,True,"target(X), type(X, bench), type(Y, streetLight), expression(sameColor, X, Y), expression(tall, Y, true)",True,139,1.1397888660430908,,True,True,False,False
2353633_3069,The shirtless man that is surrounded by the rock that is to the left of the leg,2353633,3069,man,230,['shirtless'],True,"target(X), type(X, person), expression(hasAttribute, X, shirtless), expression(near, X, rock), expression(leftOf, rock, leg)",True,150,1.8691201210021973,,True,"target(X), type(X, man), type(Y, rock), type(Z, leg), expression(shirtless, X), expression(surrounded_by, X, Y), expression(left_of, Y, Z)",True,153,1.2607500553131104,,True,True,False,False
2317955_15965,The tall pole that is to the right of the metal fence and to the left of the green leaf,2317955,15965,pole,619,['tall'],True,"target(X), type(X, pole), expression(hasAttribute, X, tall), expression(rightOf, X, fence), expression(hasAttribute, fence, metal), expression(leftOf, X, leaf), expression(hasAttribute, leaf, green)",True,170,1.5586581230163574,,True,"target(X), type(X, pole), expression(tall, X, null), expression(right_of, X, fence), type(fence, metal), expression(left_of, X, leaf), type(leaf, green)",True,159,1.310915231704712,,True,True,False,False
2387492_8691,building on the right that is brick and to the right of bare tree,2387492,8691,building,948,['brick'],True,"target(X), type(X, building), expression(hasPosition, X, right), expression(hasAttribute, X, brick), expression(rightOf, X, tree), expression(hasAttribute, tree, bare)",True,157,1.441910982131958,,True,"target(X), type(X, building), expression(on, X, tree), expression(hasAttribute, X, brick), expression(toRight, X, tree)",True,145,1.546705722808838,,True,True,False,True
2408616_13000,The hat that has the same color as the dog,2408616,13000,hat,657,"['brown', 'striped']",True,"target(X), type(X, hat), expression(hasAttribute, X, color), expression(hasAttribute, dog, color)",True,134,1.8854777812957764,,True,"target(X), type(X, hat), type(Y, dog), expression(sameColorAs, X, Y)",True,127,1.1040141582489014,,True,True,False,False
2375675_13378,The shirt that has the same color as the paper,2375675,13378,shirt,688,['white'],True,"target(X), type(X, shirt), expression(hasAttribute, X, color), expression(hasAttribute, paper, color)",True,136,1.145550012588501,,True,"target(X), type(X, shirt), expression(sameColorAs, X, paper)",True,126,0.869096040725708,,True,True,False,False
3582_11983,tree in the middle that is green and to the right of window,3582,11983,tree,529,['green'],True,"target(X), type(X, tree), expression(hasPosition, X, middle), expression(hasAttribute, X, green), expression(rightOf, X, window)",True,146,1.4066660404205322,,True,"target(X), type(X, tree), expression(in, X, middle), expression(hasAttribute, X, green), expression(toRightOf, X, window)",True,144,1.0693979263305664,,True,True,False,False
2377518_20865,The black short that is to the left of the ground or to the right of the red jersey,2377518,20865,shorts,408,['black'],True,"target(X), type(X, short), expression(hasAttribute, X, black), expression(leftOf, X, ground), expression(rightOf, X, jersey), expression(hasAttribute, jersey, red)",True,160,1.934216022491455,,True,"target(X), type(X, shirt), expression(color, X, black), expression(length, X, short), (expression(left, X, ground) OR expression(right, X, jersey))",True,156,1.2314519882202148,,True,True,False,False
2386261_13371,The shirt that has the same color as the pitcher,2386261,13371,shirt,688,"['white', 'short sleeved']",True,"target(X), type(X, shirt), expression(hasAttribute, X, color), expression(hasAttribute, pitcher, color)",True,137,2.19513201713562,,True,"target(X), type(X, shirt), expression(sameColorAs, X, pitcher)",True,127,0.9198446273803711,,True,True,False,False
2415245_22106,The red chair that is to the left of the decorative rug or sitting on the brown table,2415245,22106,chair,783,['red'],True,"target(X), type(X, chair), expression(hasAttribute, X, red), expression(leftOf, X, rug), expression(hasAttribute, rug, decorative), expression(on, X, table), expression(hasAttribute, table, brown)",True,170,1.9475960731506348,,True,"target(X), type(X, chair), expression(hasAttribute, X, red), expression(leftOf, X, rug), expression(on, X, table), expression(hasAttribute, table, brown)",True,159,1.319314956665039,,True,True,False,False
713860_12556,the second horse from the left that is black and to the left of orange flag,713860,12556,horse,387,"['large', 'black']",True,"target(X), type(X, horse), expression(hasPosition, X, second), expression(fromDirection, X, left), expression(hasAttribute, X, black), expression(leftOf, X, flag), expression(hasAttribute, flag, orange)",True,168,2.7360851764678955,,True,"target(X), type(X, horse), expression(ordinal, X, second), expression(location, X, left), expression(hasAttribute, X, black), expression(leftOf, X, flag), expression(hasAttribute, flag, orange)",True,166,1.9281270503997803,,True,True,False,False
2383658_11620,the first plant from the left that is green and to the left of green grass,2383658,11620,plant,654,['green'],True,"target(X), type(X, plant), expression(hasPosition, X, first), expression(fromDirection, X, left), expression(hasAttribute, X, green), expression(leftOf, X, grass), expression(hasAttribute, grass, green)",True,168,1.8075439929962158,,True,"target(X), type(X, plant), expression(first, X, left), expression(hasAttribute, X, green), expression(leftOf, X, grass), type(grass, object), expression(hasAttribute, grass, green)",True,163,1.3951799869537354,,True,True,False,False
2318653_15206,The metal plate that is on the brown table and to the right of the dark liquid,2318653,15206,plate,937,"['gray', 'metal']",True,"target(X), type(X, plate), expression(hasAttribute, X, metal), expression(on, X, table), expression(hasAttribute, table, brown), expression(rightOf, X, liquid), expression(hasAttribute, liquid, dark)",True,168,1.393165111541748,,True,"target(X), type(X, plate), type(plate, metal), expression(on, X, table), type(table, brown), expression(rightOf, X, liquid), type(liquid, dark)",True,154,1.216217041015625,,True,True,False,False
2407481_17558,The wood door that is near the green jacket and to the left of the white wall,2407481,17558,door,462,['wood'],True,"target(X), type(X, door), expression(hasAttribute, X, wood), expression(near, X, jacket), expression(hasAttribute, jacket, green), expression(leftOf, X, wall), expression(hasAttribute, wall, white)",True,168,2.5552709102630615,,True,"target(X), type(X, door), type(X, wood), expression(near, X, jacket), type(jacket, green), expression(leftOf, X, wall), type(wall, white)",True,153,1.4481120109558105,,True,True,False,False
